name,lat,lon
Fuvahmulah,-0.2983944,73.4268608
Selemadeg Kelod,-8.4578388,115.0104608
Ivry-sur-Seine,48.819324,2.394771
Alcantara,12.2551576,122.0533593
Tsaghkunk’,40.5763147,44.8736389
Guaymango,13.748419,-89.8452348
Jingzhou,30.335237,112.239631
Ilām,26.9111769,87.9236747
Lokoja,7.8023204,6.733343
Liyuan,38.5067706,-90.3766634
Emiliano Zapata,19.3174558,-99.1103392
Babakan,-6.588201,106.804564
Guinobatan,13.1870951,123.6222777
Quchomo,28.249827,91.767413
Yilan,24.7021073,121.7377502
Kasongo,-4.4238447,26.6700737
Niihama,34.5021072,135.3785556
Sheffield,53.3788422,-1.4730092
Sohag,26.5590737,31.6956705
Ngulung Wetan,-8.298138,111.4812472
